id_insumo_presentacion;cantidad_fija;stock_actual;ultima_reposicion;observaciones;estado
2;10;;;;TRUE
4;60;;;;TRUE
5;20;;;;TRUE
7;20;;;;TRUE
13;50;;;;TRUE
15;20;;;;TRUE
19;15;;;;TRUE
20;30;;;;TRUE
27;4;;;;TRUE
28;50;;;;TRUE
31;10;;;;TRUE
32;10;;;;TRUE
34;25;;;;TRUE
37;200;;;;TRUE
38;100;;;;TRUE
39;15;;;;TRUE
40;20;;;;TRUE
41;20;;;;TRUE
44;100;;;;TRUE
47;40;;;;TRUE
50;20;;;;TRUE
51;20;;;;TRUE
52;100;;;;TRUE
53;50;;;;TRUE
54;25;;;;TRUE
55;200;;;;TRUE
60;15;;;;TRUE
61;50;;;;TRUE
62;50;;;;TRUE
63;50;;;;TRUE
64;300;;;;TRUE
65;49;;;;TRUE
67;100;;;;TRUE
73;100;;;;TRUE
78;200;;;;TRUE
93;200;;;;TRUE
94;15;;;;TRUE
95;300;;;;TRUE
97;500;;;;TRUE
98;20;;;;TRUE
110;300;;;;TRUE
112;25;;;;TRUE
114;300;;;;TRUE
115;25;;;;TRUE
119;15;;;;TRUE
121;100;;;;TRUE
122;100;;;;TRUE
123;30;;;;TRUE
125;10;;;;TRUE
127;20;;;;TRUE
130;100;;;;TRUE
133;10;;;;TRUE
135;100;;;;TRUE
136;100;;;;TRUE
139;50;;;;TRUE
140;100;;;;TRUE
141;100;;;;TRUE
143;10;;;;TRUE
144;15;;;;TRUE
145;20;;;;TRUE
146;5;;;;TRUE
148;20;;;;TRUE
151;50;;;;TRUE
157;28;;;;TRUE
161;24;;;;TRUE
162;24;;;;TRUE
163;10;;;;TRUE
164;6;;;;TRUE
171;200;;;;TRUE
173;30;;;;TRUE
174;10;;;;TRUE
176;15;;;;TRUE
177;15;;;;TRUE
181;12;;;;TRUE
182;30;;;;TRUE
183;10;;;;TRUE
186;10;;;;TRUE
189;100;;;;TRUE
190;50;;;;TRUE
192;60;;;;TRUE
197;20;;;;TRUE
198;100;;;;TRUE
201;100;;;;TRUE
207;5;;;;TRUE
208;10;;;;TRUE
209;100;;;;TRUE
213;10;;;;TRUE
214;200;;;;TRUE
216;50;;;;TRUE
217;10;;;;TRUE
220;200;;;;TRUE
221;50;;;;TRUE
222;50;;;;TRUE
223;200;;;;TRUE
224;5;;;;TRUE
226;15;;;;TRUE
228;80;;;;TRUE
231;10;;;;TRUE
234;10;;;;TRUE
235;100;;;;TRUE
236;80;;;;TRUE
237;100;;;;TRUE
242;10;;;;TRUE
243;6;;;;TRUE
244;25;;;;TRUE
246;5;;;;TRUE
254;40;;;;TRUE
258;35;;;;TRUE
259;15;;;;TRUE
263;50;;;;TRUE
267;100;;;;TRUE
270;50;;;;TRUE
